playerName,competitions,teamName
Emmanuel Adebayor,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Muhammet Demir,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Robinho,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Demba Ba,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Okan Buruk,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
İrfan Saraloğlu,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Renan,"['A PFG', 'UEFA Champions League', 'UEFA Europa League']",PFK Ludogorets 1945 Razgrad
Jorge Broun,"['A PFG', 'UEFA Champions League', 'UEFA Europa League']",PFK Ludogorets 1945 Razgrad
Vladislav Stoyanov,"['A PFG', 'UEFA Champions League', 'UEFA Europa League']",PFK Ludogorets 1945 Razgrad
Plamen Iliev,"['A PFG', 'UEFA Champions League', 'UEFA Europa League']",PFK Ludogorets 1945 Razgrad
Jordan Ikoko,"['A PFG', 'UEFA Champions League', 'UEFA Europa League']",PFK Ludogorets 1945 Razgrad
Cosmin Moţi,"['A PFG', 'UEFA Champions League', 'UEFA Europa League']",PFK Ludogorets 1945 Razgrad
Georgi Terziev,"['A PFG', 'UEFA Champions League', 'UEFA Europa League']",PFK Ludogorets 1945 Razgrad
Cicinho,"['A PFG', 'UEFA Champions League', 'UEFA Europa League']",PFK Ludogorets 1945 Razgrad
Rafael Forster,"['A PFG', 'UEFA Champions League', 'UEFA Europa League']",PFK Ludogorets 1945 Razgrad
Stanislav Manolev,"['A PFG', 'UEFA Champions League', 'UEFA Europa League']",PFK Ludogorets 1945 Razgrad
Anton Nedyalkov,"['A PFG', 'UEFA Champions League', 'UEFA Europa League']",PFK Ludogorets 1945 Razgrad
Dragoș Grigore,"['A PFG', 'UEFA Champions League', 'UEFA Europa League']",PFK Ludogorets 1945 Razgrad
Jacek Góralski,"['A PFG', 'UEFA Champions League', 'UEFA Europa League']",PFK Ludogorets 1945 Razgrad
