,col
975,tommy-elphick
976,rarmani-edmonds-green
977,josh-koroma
978,matty-daly
979,karlan-ahearne-grant
980,aaron-rowe
981,jan-siewert
982,ellery-balcombe
983,david-raya
984,patrik-gunnarsson
985,josh-clarke
986,rico-henry
987,tom-field
988,luka-racic
989,japhet-sery
990,dominic-thompson
991,kamohelo-mokotjo
992,mads-bech-sørensen
993,emiliano-hansen
994,chiedozie-ogbene
995,jaakko-oksanen
996,fredrik-hammar
997,jan-žambůrek
998,sergi-canos
999,josh-dasilva
1000,joel-valencia
1001,marcus-forss
1002,thomas-frank
1003,joe-day
1004,aden-flint
1005,soul-bamba
1006,curtis-nelson
1007,will-vaulks
1008,marlon-pack
1009,daniel-ward
1010,robert-glatzel
1011,lloyd-humphries
1012,isaac-vassell
1013,gavin-whyte
1014,neil-warnock
1015,michael-crowe
1016,steven-james
1017,joe-rafferty
1018,andrew-hughes
1019,patrick-bauer
1020,darnell-fisher
1021,paul-huntington
1022,tom-clarke
1023,clive-smith
1024,brad-potts
1025,tom-barkhuizen
1026,alex-neil
1027,joshua-harrop
1028,billy-bodin
1029,adam-o-reilly
1030,andre-green
1031,jayden-stockley
1032,paul-gallagher
1033,louis-moult
1034,josh-ginnelly
1035,jake-baxter
1036,ethan-walker
1037,sokratis-papastathopoulos
1038,hector-bellerín
1039,zechariah-medley
1040,martinelli
1041,tyreece-john-jules
1042,unai-emery
1043,steve-bould
1044,dominic-revan
1045,ahmed-el-mohamady
1046,trezeguet
1047,keinan-davis
1048,jordan-cox
1049,jota-peleteiro
1050,aaron-tshibola
1051,jacob-ramsey
1052,jonathan-kodjia
1053,callum-o-hare
1054,dean-smith
1055,jamie-cumming
1056,azpilicueta
1057,marc-guehi
1058,n-golo-kante
1059,tiemoue-bakayoko
1060,andre-gomes
1061,baye-oumar-niasse
1062,gylfi-þor-sigurðsson
1063,marco-silva
1064,sepp-van-den-berg
1065,isaac-christie-davies
1066,harvey-elliott
1067,jürgen-klopp
1068,scott-carson
1069,eric
1070,leroy-sane
1071,adrian-bernabe
1072,felix-kalu-nmecha
1073,ian-carlo-poveda
1074,pep-guardiola
1075,arteta
1076,victor-nilsson-lindelöf
1077,mata
1078,ole-gunnar-solskjær
1079,nathan-harker
1080,jamal-lascelles
1081,lewis-cass
1082,ki-sungyueng
1083,yoshinori-mutō
1084,kelland-watts
1085,steve-bruce
1086,michael-mcgovern
1087,akin-famewo
1088,philip-heise
1089,louis-thompson
1090,tom-trybull
1091,onel-hernández
1092,dennis-srbeny
1093,daniel-adshead
1094,todd-cantwell
1095,aidan-fitzpatrick
1096,alfie-payne
1097,adam-idah
1098,daniel-farke
1099,georges-n-koudou
1100,timothy-eyoma
1101,son-heungmin
1102,davinson-sánchez
1103,tanguy-ndombèle
1104,george-marsh
1105,andreas-søndergaard
1106,jesus-vallejo
1107,max-kilman
1108,jonny-castro
1109,dion-sanderson
1110,bruno-jordão
1111,ruben-neves
1112,elliot-watt
1113,ming-yang-yang
1114,terry-taylor
1115,nathaniel-wan
1116,raul-jimenez
1117,adama-traore
1118,nuno-espírito-santo
1119,bailey-peacock-farrell
1120,george-mcmahon
1121,james-dunne
1122,benjamin-mee
1123,anthony-driscoll-glennon
1124,joel-senior
1125,johann-berg-guðmundsson
1126,christian-n-guessan
1127,ryan-cooney
1128,danny-drinkwater
1129,josh-benson
1130,matěj-vydra
1131,adam-phillips
1132,sean-dyche
1133,mitchell-clark
1134,çağlar-söyüncü
1135,vontae-daley-campbell
1136,fousseni-diabate
1137,khanya-leshabela
1138,george-hirst
1139,ali-reghba
1140,brendan-rodgers
1141,michael-stowell
1142,cedric
1143,yann-valery
1144,kayne-ramsey
1145,callum-slattery
1146,marcus-barnes
1147,ralph-hasenhüttl
1148,jose-holebas
1149,femenía-far
1150,quina
1151,cucho-hernández
1152,filip-stuparevic
1153,javi-gracia
1154,joe-daniel-tupper
1155,sam-woods
1156,nikola-tavares
1157,giovanni-mcgregor
1158,jason-lokilo
1159,roy-hodgson
1160,michael-verrips
1161,kieron-freeman
1162,jake-wright
1163,richard-stearman
1164,ben-heneghan
1165,kean-bryan
1166,ben-osborn
1167,david-mcgoldrick
1168,leon-clarke
1169,ricky-holmes
1170,chris-wilder
1171,maty-ryan
1172,tudor-băluţă
1173,martín-montoya
1174,jose-izquierdo
1175,solomon-march
1176,taylor-richards
1177,romaric-yapi
1178,graham-potter
1179,łukasz-fabiański
1180,roberto-jimenez
1181,gonçalo-cardoso
1182,conor-coventry
1183,javier-hernández
1184,manuel-pellegrini
1185,mark-travers
1186,nathan-ake
1187,mihai-dobre
1188,nnamdi-ofoborh
1189,eddie-howe
